0	Общее название указателя	Указатель имен эпических и мифологических персонажей
1	[No Paragraph Style]	a-Агастья  159, 225, 534, 594, 609, 613–614
2	[No Paragraph Style]	a-великий риши=1  251, 253, 255, 288, 307, 386, 391, 394, 414, 546, 595
3	[No Paragraph Style]	a-Агни  79, 83, 250, 438, 455, 507–508, 538, 585, 594, 609, 612
4	[No Paragraph Style]	a-Анала  598
5	[No Paragraph Style]	a-Павака  609
6	[No Paragraph Style]	a-Агниварна  461, 594
7	[No Paragraph Style]	a-сын Сударшаны  461
8	[No Paragraph Style]	a-Аджа  461, 587, 594
9	[No Paragraph Style]	a-Адити  8, 134, 394, 498, 519, 569, 594, 599, 604
10	[No Paragraph Style]	a-жена Кашьяпы  594, 602
11	[No Paragraph Style]	a-Адрикритастхали  385, 594
12	[No Paragraph Style]	a-Айравата  551, 594
13	[No Paragraph Style]	a-слон Индры  551, 594
14	[No Paragraph Style]	a-Акопа  594
15	[No Paragraph Style]	a-Акша  595
16	[No Paragraph Style]	a-Аламбуша=1  385, 388, 567, 595
17	[No Paragraph Style]	a-Аламбуша=2  385, 388, 567, 595
18	[No Paragraph Style]	a-Аларка  62, 74, 508, 595
19	[No Paragraph Style]	a-Амбариша  461, 595
20	[No Paragraph Style]	a-потомок Икшваку  33, 74, 166, 175, 226, 229, 237, 316, 595
21	[No Paragraph Style]	a-сын Прашушрувы  461
22	[No Paragraph Style]	a-царственный риши=1  21
23	[No Paragraph Style]	a-Анаранья  458–459, 587, 595
24	[No Paragraph Style]	a-сын Баны  458
25	[No Paragraph Style]	a-Анасуя  481–482, 484–486, 489–491, 591–592
26	[No Paragraph Style]	a-дочь Дакши  595, 599, 602, 611
27	[No Paragraph Style]	a-жена (супруга) Атри  482, 595
28	[No Paragraph Style]	a-Ангада  595, 614
29	[No Paragraph Style]	a-сын Валина  595
30	[No Paragraph Style]	a-Ангарака  25, 501
31	[No Paragraph Style]	a-Лохитанга  199, 529
32	[No Paragraph Style]	a-Мангала  529
33	[No Paragraph Style]	a-Марс  501, 529
34	[No Paragraph Style]	a-Ангирас  161, 595
