151	#Level2	a-сын Кашьяпы=1	№
152	#Level1	a-Вибхишана	№
153	#Level2	a-брат Раваны=1	№
154	#Level1	a-Виджая	№
155	#Level1	a-Викукши	№
156	#Level1	a-Вината	№
157	#Level1	a-Вирадха	№
158	#Level1	a-Вирата	№
159	#Level1	a-Вирочана	№
160	#Level1	a-Вирупакша	№
161	#Level1	a-Вишакха	№
162	#Level1	a-Вишала	№
163	#Level2	a-сын Икшваку=1	№
164	#Level1	a-Вишвавасу	№
165	#Level1	a-Вишвадевы	№
166	#Level1	a-Вишвакарман	№
167	#Level1	a-Вишвамитра	№
168	#Level2	a-великий подвижник	№
169	#Level2	a-великий риши	№
170	#Level2	a-Каушика, или сын Кушики	№
171	#Level2	a-потомок Куши	№
172	#Level2	a-сын Гадхи	№
173	#Level2	a-сын Гаутамы=1	№
174	#Level2	a-царственный риши=2	№
175	#Level1	a-Вишвачи	№
176	#Level1	a-Вишну	№
177	#Level2	a-Вечный=2	№
178	#Level2	a-владыка богов=2	№
179	#Level2	a-владыка миров=2	№
180	#Level2	a-губитель Мадху	№
181	#Level2	a-Джанардана, или Пуруша Джанардана	№
182	#Level2	a-Кешава	№
183	#Level2	a-Мадхусудана	№
184	#Level2	a-младший брат Шакры	№
185	#Level2	a-Нараяна	№
186	#Level2	a-Непреходящий	№
187	#Level2	a-повелитель трех миров	№
188	#Level2	a-Праджапати=2	№
189	#Level2	a-Пурушоттама	№
190	#Level2	a-Самовластный	№
191	#Level2	a-Сокрушитель недругов	№
192	#Level2	a-сын Адити	№
193	#Level2	a-Упендра, или младший брат Индры	№
194	#Level2	a-Хари	№
195	#Level2	a-Хришикеша	№
196	#Level1	a-Вишравас	№
197	#Level1	a-Вритра	№
198	#Level1	a-Гадхи, или Гадхин	№
199	#Level1	a-Ганга	№
200	#Level2	a-Бхагиратхи	№
201	#Level2	a-Джахнави, или дочь Джахну	№
202	#Level2	a-дочь Царя гор	№
203	#Level2	a-Малини	№
204	#Level2	a-старшая дочь Химавата	№
205	#Level2	a-супруга Океана	№
206	#Level2	a-Трипатхага, или Текущая (идущая) тремя путями	№
207	#Level1	a-Гандхамадана	№
208	#Level2	a-сын Куберы	№
209	#Level1	a-Гандхари, жена Дхритараштры	№
210	#Level1	a-Гарги	№
211	#Level1	a-Гаргья Триджата	№
212	#Level1	a-Гаруда	№
213	#Level2	a-Супарна	№
214	#Level2	a-сын Винаты	№
215	#Level2	a-Таркшья=1	№
216	#Level2	a-царь птиц	№
217	#Level1	a-Гаутама	№
218	#Level2	a-супруг Ахальи	№
219	#Level1	a-Гая	№
220	#Level1	a-Гомер	№
221	#Level1	a-Гопа	№
222	#Level1	a-Готама	№
223	#Level1	a-Гуха	№
224	#Level1	a-Гхритачи	№
225	#Level1	a-Гхритачьи	№
226	#Level1	a-Дадхимукха	№
227	#Level2	a-дядя Сугривы	№
228	#Level1	a-Дадхичи	№
229	#Level1	a-Дакша	№
230	#Level2	a-сын Брахмы	№
231	#Level1	a-Данда	№
232	#Level1	a-Дандхумара	№
233	#Level2	a-сын Тришанку	№
234	#Level1	a-Дашаратха	№
235	#Level2	a-бык рода Рагху	№
236	#Level2	a-воин рода Икшваку	№
237	#Level2	a-потомок великого рода=1	№
238	#Level2	a-потомок Икшваку	№
239	#Level2	a-потомок Какутстхи	№
240	#Level2	a-равный великому Индре=2	№
241	#Level2	a-Рагхава, или потомок Рагху	№
242	#Level2	a-сын Аджи	№
243	#Level2	a-ученик Васиштхи	№
244	#Level2	a-царственный риши=3	№
245	#Level2	a-владыка Косалы=1	№
246	#Level1	a-Двивида	№
247	#Level1	a-Девамидха	№
248	#Level1	a-Деварата	№
249	#Level2	a-предок Джанаки	№
250	#Level2	a-старший брат Ними	№
251	#Level2	a-сын Сукету	№
252	#Level2	a-царственный риши=4	№
253	#Level1	a-Джабали	№
254	#Level1	a-Джамадагни	№
255	#Level2	a-отец Рамы	№
256	#Level2	a-потомок Бхригу=1	№
257	#Level1	a-Джамбават	№
258	#Level2	a-сын Брахмы	№
259	#Level1	a-Джамбха	№
260	#Level1	a-Джанака=1	№
261	#Level2	a-великий духом	№
262	#Level2	a-отец Ситы	№
263	#Level2	a-царь (владыка, государь) Видехи (Митхилы)	№
264	#Level1	a-Джанака=2	№
265	#Level1	a-Джанамеджая	№
266	#Level2	a-сын Парикшита	№
267	#Level1	a-Джатаюс	№
268	#Level1	a-Джахну	№
269	#Level1	a-Джая	№
270	#Level1	a-Джаянта	№
271	#Level1	a-Дивьяваю	№
272	#Level1	a-Дилипа	№
273	#Level2	a-сын Аншумана	№
274	#Level1	a-Дити	№
275	#Level1	a-дочери Кушадхваджи	№
276	#Level1	a-дочери Кушанабхи, или сто дочерей Кушанабхи	№
277	#Level1	a-Драупади	№
278	#Level1	a-Дридханетра	№
279	#Level1	a-Дрона	№
280	#Level1	a-Друпада	№
281	#Level1	a-Дундубхи	№
282	#Level1	a-Душана	№
283	#Level1	a-Дханвантари	№
284	#Level1	a-Дхарма	№
285	#Level1	a-Дхармапала	№
286	#Level1	a-Дхатри	№
287	#Level1	a-Дхриштакету	№
288	#Level2	a-царственный риши=5	№
289	#Level1	a-Дхришти	№
290	#Level1	a-Дхрува	№
291	#Level1	a-Дхрувасандхи	№
292	#Level1	a-Дхумрашва	№
293	#Level2	a-сын Сучандры	№
294	#Level1	a-Дхундхумара	№
295	#Level2	a-сын Тришанку	№
296	#Level1	a-Дьюматсена	№
297	#Level2	a-отец Сатьявана	№
298	#Level1	a-Идхмавахана	№
299	#Level1	a-Икшваку	№
300	#Level2	a-внук Вивасвата	№
301	#Level2	a-сын Ману	№
302	#Level1	a-Индра	№
303	#Level2	a-Васава	№
304	#Level2	a-враг данавов	№
305	#Level2	a-Губитель Балы, или Баласудана	№
306	#Level2	a-Губитель Паки	№
307	#Level2	a-Держатель ваджры	№
308	#Level2	a-любовник Ахальи	№
309	#Level2	a-Магхаван	№
310	#Level2	a-Махендра, или Великий Индра	№
311	#Level2	a-Пакашасана, или Губитель Паки	№
312	#Level2	a-Парджанья	№
313	#Level2	a-Пурандара, или Сокрушитель крепостей, или Покоритель городов, или Разрушитель городов	№
314	#Level2	a-супруг Шачи	№
315	#Level2	a-сын Адити	№
316	#Level2	a-сын Кашьяпы=2	№
317	#Level2	a-сын Кашьяпы=3	№
318	#Level2	a-Тысячеглазый	№
319	#Level2	a-царь (владыка, бык) тридцатки богов	№
320	#Level2	a-Шакра	№
321	#Level2	a-Шатакрату, или Вершитель ста жертвоприношений	№
322	#Level1	a-Кабандха	№
323	#Level1	a-Кавья	№
324	#Level2	a-Венера	№
325	#Level2	a-сын Бхригу	№
326	#Level2	a-Ушанас	№
327	#Level2	a-Шукра	№
328	#Level1	a-Кадру	№
329	#Level1	a-Кайкейи	№
330	#Level2	a-дочь царя Ашвапати	№
331	#Level2	a-жена Дашаратхи	№
332	#Level2	a-криводушная	№
333	#Level2	a-мать Бхараты	№
334	#Level1	a-Кайтабха	№
335	#Level1	a-Какутстха=1	№
336	#Level2	a-сын Викукши	№
337	#Level1	a-Какутстха=2	№
338	#Level1	a-Калагни	№
339	#Level1	a-Калапа	№
340	#Level1	a-Калинди	№
341	#Level2	a-жена Аситы	№
342	#Level1	a-Калмашапада	№
343	#Level2	a-Саудаса	№
344	#Level1	a-Кама	№
345	#Level2	a-Ананга, или Бестелесный	№
346	#Level2	a-Кандарпа	№
347	#Level2	a-Мадана	№
348	#Level2	a-Манматха	№
349	#Level1	a-Канду	№
350	#Level2	a-сын риши Канвы	№
351	#Level1	a-Капила	№
352	#Level1	a-Катха	№
353	#Level1	a-Катьяяна	№
354	#Level1	a-Каусалья, или Каушалья	№
355	#Level2	a-дочь царя Косалы	№
356	#Level2	a-жена (супруга) Дашаратхи	№
357	#Level2	a-мать Рагхавы	№
358	#Level2	a-мать Рамы	№
359	#Level2	a-свекровь царевны Митхилы	№
360	#Level2	a-царица-мать	№
361	#Level1	a-Кашьяпа=1	№
362	#Level2	a-Ариштанеми	№
363	#Level2	a-сын Маричи	№
364	#Level1	a-Кашьяпа=2	№
365	#Level1	a-Кету	№
366	#Level1	a-Кешини	№
367	#Level2	a-дочь владыки Видарбхи	№
368	#Level2	a-старшая супруга Сагары	№
369	#Level1	a-Киртирата	№
370	#Level2	a-сын Махидхрака	№
371	#Level2	a-царственный риши=6	№
372	#Level1	a-Киртиратха	№
373	#Level2	a-сын Пратиндхаки	№
374	#Level1	a-Корова, исполняющая желания	№
375	#Level2	a-божественная корова	№
376	#Level2	a-Нандини	№
377	#Level2	a-Сурабхи	№
378	#Level2	a-Шабала	№
379	#Level1	a-Крату	№
380	#Level1	a-Кришашва	№
381	#Level1	a-Кришна	№
382	#Level2	a-Васудева	№
383	#Level2	a-потомок Мадху	№
384	#Level2	a-сын Васудевы	№
385	#Level1	a-Кубера	№
386	#Level2	a-Вайшравана	№
387	#Level2	a-владыка богатств	№
388	#Level1	a-Кукши	№
389	#Level2	a-сын Икшваку=2	№
390	#Level1	a-Кумбхакарна	№
391	#Level2	a-брат Раваны=2	№
392	#Level1	a-Куша=1	№
393	#Level2	a-потомок Брахмы	№
394	#Level2	a-сын Брахмы	№
395	#Level2	a-сын Праджапати=2	№
396	#Level1	a-Куша=2	№
397	#Level1	a-Кушадхваджа	№
398	#Level1	a-Кушамба	№
399	#Level1	a-Кушанабха	№
400	#Level2	a-сын Куши	№
401	#Level2	a-царственный риши=7	№
402	#Level1	a-Кушашва	№
403	#Level2	a-сын Сахадевы	№
404	#Level1	a-Кхара	№
405	#Level2	a-младший брат Раваны	№
406	#Level1	a-Лава	№
407	#Level1	a-Лакшмана	№
408	#Level2	a-брат Рамы=2	№
409	#Level2	a-младший брат Бхараты	№
410	#Level2	a-младший брат Рамы	№
411	#Level2	a-наделенный счастливой долей, или лакшмивардхана	№
412	#Level2	a-наделенный счастьем, или лакшмисампанна	№
413	#Level2	a-потомок Рагху	№
414	#Level2	a-преданный брат Рамы	№
415	#Level2	a-сын Сумитры=1	№
416	#Level2	a-услада матери Сумитры	№
417	#Level1	a-Мадху=1	№
418	#Level1	a-Мадху=2	№
419	#Level1	a-Мадхушпанда (Мадхучханда, Мадхучхандаса, Махишьянда, Махишпанда, Мадхушпанда)	№
420	#Level1	a-Майи-Равана	№
421	#Level1	a-Майнда	№
422	#Level1	a-Мандави	№
423	#Level1	a-Мандхатар	№
424	#Level2	a-сын Юванашвы	№
425	#Level1	a-Мантхара=1	№
426	#Level2	a-дочь Вирочаны	№
427	#Level1	a-Мантхара=2	№
428	#Level1	a-Ману	№
429	#Level2	a-отец Икшваку	№
430	#Level2	a-сын Вивасвата, или Вайвасвата	№
431	#Level2	a-хранитель мира	№
432	#Level1	a-Марича	№
433	#Level2	a-сын Сунды	№
434	#Level2	a-сын Тараки	№
435	#Level1	a-Маричи	№
436	#Level2	a-сын Брахмы	№
437	#Level1	a-Маркандея	№
438	#Level2	a-Диргхаюс	№
439	#Level1	a-Мару=1	№
440	#Level1	a-Мару=2	№
441	#Level1	a-Матали	№
442	#Level2	a-возничий Индры	№
443	#Level2	a-советник Индры	№
444	#Level1	a-Маудгалья	№
445	#Level1	a-Махавира	№
446	#Level2	a-сын Брихадратхи	№
447	#Level1	a-Махападма	№
448	#Level2	a-слон Ямы	№
449	#Level1	a-Махаратха	№
450	#Level1	a-Махароман	№
451	#Level1	a-Махидхрака	№
452	#Level1	a-Маходая	№
453	#Level1	a-Мегханада	№
454	#Level2	a-Индраджит	№
455	#Level2	a-победитель Индры	№
456	#Level2	a-сын Раваны	№
457	#Level1	a-Мена	№
458	#Level2	a-дочь горы Меру	№
459	#Level2	a-жена Химавата	№
460	#Level1	a-Менака	№
461	#Level1	a-Митра	№
462	#Level1	a-Митхи	№
463	#Level1	a-Мишракеши	№
464	#Level1	a-Молочный океан	№
465	#Level1	a-Мохини	№
466	#Level1	a-Набхага	№
467	#Level2	a-сын Нахуши=1	№
468	#Level2	a-сын Яяти	№
469	#Level1	a-Нагадатта	№
470	#Level1	a-Нала	№
471	#Level2	a-сын Вишвакармана	№
472	#Level1	a-Налини, подруга Анасуи	№
473	#Level1	a-Нандивардхана	№
474	#Level1	a-Нандин	№
475	#Level1	a-Нарада	№
476	#Level2	a-великий риши	№
477	#Level2	a-сын Брахмы	№
478	#Level2	a-устранитель невежества	№
479	#Level1	a-Нахуша	№
480	#Level2	a-сын Амбариши	№
481	#Level1	a-Никула	№
482	#Level1	a-Никумбха	№
483	#Level1	a-Нила	№
484	#Level1	a-Ними	№
485	#Level1	a-Пака	№
486	#Level1	a-Патала-Равана	№
487	#Level1	a-Прабхаса	№
488	#Level1	a-Правриддха	№
489	#Level2	a-сын Рагху	№
490	#Level1	a-Прасенаджит	№
491	#Level1	a-Пратиндхака	№
492	#Level1	a-Пратьюша	№
493	#Level1	a-Прахлада	№
494	#Level1	a-Прачетас	№
495	#Level1	a-Прашушрува, или Прашушрука	№
496	#Level1	a-Притхиви	№
497	#Level2	a-Земля	№
498	#Level1	a-Притху	№
499	#Level1	a-Пришни	№
500	#Level1	a-Пуластья	№
501	#Level1	a-Пулаха	№
502	#Level1	a-Пулома	№
503	#Level2	a-жена Бхригу	№
504	#Level2	a-мать Кавьи	№
505	#Level2	a-мать Шукры	№
506	#Level1	a-Пунарвасу	№
507	#Level1	a-Пундарика	№
508	#Level1	a-Пуру	№
509	#Level1	a-Пушан	№
510	#Level1	a-Равана	№
511	#Level2	a-брат Вайшраваны	№
512	#Level2	a-Дашагрива, или десятишеий	№
513	#Level2	a-Десятиголовый	№
514	#Level2	a-Десятиликий	№
515	#Level2	a-потомок Пуластьи, или Пауластья	№
516	#Level2	a-сын Вишраваса	№
517	#Level1	a-Рагхава	№
518	#Level1	a-Рагхавы	№
519	#Level1	a-Рагху	№
520	#Level2	a-сын Какутстхи=1	№
521	#Level1	a-Рама Джамадагнья	№
522	#Level2	a-Джамадагнья	№
523	#Level2	a-Парашурама, или Рама с топором	№
524	#Level2	a-потомок Бхригу=2	№
525	#Level2	a-Рама=1	№
526	#Level2	a-сын Джамадагни	№
527	#Level1	a-Рама=2	№
528	#Level2	a-брат Лакшманы	№
529	#Level2	a-верный своей цели	№
530	#Level2	a-Владыка мира	№
531	#Level2	a-владыка Косалы=2	№
532	#Level2	a-любимец царя	№
533	#Level2	a-любимый людьми, или локарама	№
534	#Level2	a-любимый сын Каусальи	№
535	#Level2	a-наследник рода Рагху	№
536	#Level2	a-потомок великого рода=2	№
537	#Level2	a-потомок Икшваку	№
538	#Level2	a-потомок Какутстхи	№
539	#Level2	a-потомок славного рода	№
540	#Level2	a-потомок царственного рода	№
541	#Level2	a-Рагхава, или потомок Рагху	№
542	#Level2	a-старший брат Бхараты	№
543	#Level2	a-старший брат Лакшманы	№
544	#Level2	a-сын Дашаратхи	№
545	#Level2	a-сын Каусальи	№
546	#Level2	a-услада матери Каусальи	№
547	#Level2	a-услада рода Рагху	№
548	#Level2	a-Хираньянабха, или “чей пупок сияет как золото”	№
549	#Level1	a-Рамбха	№
550	#Level1	a-Раху	№
551	#Level1	a-Раштравардхана	№
552	#Level1	a-Ренука	№
553	#Level2	a-жена Джамадагни	№
554	#Level1	a-Ричика	№
555	#Level2	a-потомок Бхригу=3	№
556	#Level1	a-Ришьяшринга	№
557	#Level2	a-внук Кашьяпы	№
558	#Level2	a-зять Ромапады	№
559	#Level2	a-супруг Шанты	№
560	#Level2	a-сын Вибхандаки	№
561	#Level1	a-Ромапада, или Ломапада	№
562	#Level2	a-владыка ангов	№
563	#Level1	a-Рохини	№
564	#Level2	a-жена Чандры (Месяца)	№
565	#Level1	a-Савитри	№
566	#Level1	a-Сагара	№
567	#Level2	a-потомок Какутстхи	№
568	#Level2	a-сын Калинди	№
569	#Level1	a-Сампати	№
570	#Level1	a-Самудра	№
571	#Level2	a-владыка рек	№
572	#Level2	a-Океан	№
573	#Level1	a-Санаткумара	№
574	#Level1	a-Сатурн	№
575	#Level1	a-Сатьяван	№
576	#Level2	a-сын Дьюматсены	№
577	#Level1	a-Сатьявати	№
578	#Level2	a-дочь царя Гадхи	№
579	#Level2	a-Каушики	№
580	#Level2	a-мать Шунахшепы	№
581	#Level2	a-сестра Вишвамитры	№
582	#Level1	a-Сауманаса	№
583	#Level1	a-Сахадева	№
584	#Level1	a-Сварнароман	№
585	#Level1	a-Сиддхартха=2	№
586	#Level1	a-Синхика	№
587	#Level1	a-Сита	№
588	#Level2	a-дочь Дашаратхи=1	№
589	#Level2	a-дочь Джанаки (царя Видехи)	№
590	#Level2	a-Майтхили	№
591	#Level2	a-рожденная в роде Джанаки	№
592	#Level2	a-супруга (жена) Рамы	№
593	#Level2	a-царевна Видехи (Митхилы)	№
594	#Level1	a-Сканда	№
595	#Level2	a-Картикея, или Карттикея	№
596	#Level2	a-Кумара	№
597	#Level2	a-Шаданана, или Шестиликий	№
598	#Level1	a-Сома=1	№
599	#Level1	a-Сома=2	№
600	#Level1	a-Сомада	№
601	#Level2	a-дочь Урмилы	№
602	#Level1	a-Сомадатта	№
603	#Level1	a-Сринджая	№
604	#Level1	a-Субаху	№
605	#Level2	a-сын Тимидхваджи	№
606	#Level2	a-сын Упасунды	№
607	#Level1	a-Суврата	№
608	#Level1	a-Сугрива	№
609	#Level2	a-сын бога Солнца	№
610	#Level2	a-сын Сурьи	№
611	#Level2	a-царь обезьян	№
612	#Level1	a-Судамана	№
613	#Level1	a-Сударшана	№
614	#Level2	a-сын Шанкханы	№
615	#Level1	a-Судханван=1	№
616	#Level1	a-Судханван=2	№
617	#Level1	a-Судхрити	№
618	#Level2	a-сын Махавиры	№
619	#Level1	a-Сукету=1	№
620	#Level1	a-Сукету=2	№
621	#Level2	a-сын Нандивардханы	№
622	#Level2	a-царственный риши=8	№
623	#Level1	a-Сумантра	№
624	#Level2	a-сведущий в советах	№
625	#Level1	a-Сумати=1	№
626	#Level2	a-сын Какутстхи=2	№
627	#Level1	a-Сумати=2	№
628	#Level2	a-вторая супруга Сагары	№
629	#Level2	a-дочь Ариштанеми	№
630	#Level2	a-сестра Супарны	№
631	#Level1	a-Сумитра	№
632	#Level1	a-Сунда	№
633	#Level2	a-сын Джамбхи	№
634	#Level1	a-Супрабха	№
635	#Level1	a-Сура	№
636	#Level1	a-Сураса	№
637	#Level1	a-Сураштра	№
638	#Level1	a-Сурья, или Солнце	№
639	#Level2	a-Вивасват	№
640	#Level2	a-отец Ману	№
641	#Level2	a-Савитар	№
642	#Level2	a-Таркшья=2	№
643	#Level1	a-Сусандхи	№
644	#Level1	a-Сутикшна	№
645	#Level1	a-Сучандра	№
646	#Level2	a-наследник Хемачандры	№
647	#Level1	a-Сушена	№
648	#Level1	a-Суяджня	№
649	#Level2	a-сын Васиштхи	№
650	#Level1	a-Тара=1	№
651	#Level1	a-Тара=2	№
652	#Level1	a-Тара=3	№
653	#Level1	a-Тарака (Татака)	№
654	#Level2	a-дочь Сукету	№
655	#Level2	a-жена Сунды	№
656	#Level1	a-Тваштар	№
657	#Level1	a-Тилоттама	№
658	#Level1	a-Тимидхваджа	№
659	#Level1	a-Триджата	№
660	#Level1	a-Триджата Гаргья	№
661	#Level1	a-Тришанку	№
662	#Level2	a-государь Айодхьи	№
663	#Level2	a-потомок Икшваку	№
664	#Level2	a-Сатьяврата	№
665	#Level2	a-сын Кушики	№
666	#Level1	a-Триширас	№
667	#Level1	a-Тумбуру	№
668	#Level1	a-Удавасу	№
669	#Level1	a-Ума	№
670	#Level2	a-дочь Химавата	№
671	#Level2	a-жена Шивы	№
672	#Level2	a-Парвати	№
673	#Level1	a-Упасунда	№
674	#Level1	a-Урмила=1	№
675	#Level1	a-Урмила=2	№
676	#Level2	a-сестра Ситы	№
677	#Level1	a-Уччайхшравас	№
678	#Level2	a-конь Индры	№
679	#Level1	a-Хавишпанда	№
680	#Level1	a-Хануман	№
681	#Level2	a-сын Ваю	№
682	#Level2	a-сын Маруты	№
683	#Level1	a-Харишчандра	№
684	#Level1	a-Харьяшва	№
685	#Level1	a-Хаха	№
686	#Level1	a-Хема	№
687	#Level1	a-Хемачандра	№
688	#Level2	a-сын Вишалы	№
689	#Level1	a-Химават	№
690	#Level2	a-Царь гор	№
691	#Level1	a-Храсвароман	№
692	#Level1	a-Хуху	№
693	#Level1	a-Чандра, или Луна, или Месяц	№
694	#Level2	a-шашанка	№
695	#Level1	a-Читраратха=1	№
696	#Level1	a-Читраратха=2	№
697	#Level1	a-Чулин	№
698	#Level1	a-Чьявана	№
699	#Level2	a-великий риши	№
700	#Level2	a-потомок Бхригу=4	№
701	#Level2	a-сын Бхригу	№
702	#Level1	a-Шабари	№
703	#Level1	a-Шакунтала	№
704	#Level1	a-Шамбара	№
705	#Level2	a-враг Индры	№
706	#Level1	a-Шанкхана	№
707	#Level1	a-Шанта	№
708	#Level2	a-дочь Дашаратхи=2	№
709	#Level2	a-дочь Ромапады	№
710	#Level1	a-Шантри	№
711	#Level1	a-Шарабха	№
712	#Level1	a-Шарабханга	№
713	#Level1	a-Шатананда	№
714	#Level2	a-сын Гаутамы=2	№
715	#Level1	a-Шатругхна	№
716	#Level2	a-брат Рамы=3	№
717	#Level2	a-всегда побеждающий недругов	№
718	#Level2	a-младший брат Лакшманы	№
719	#Level2	a-сын Сумитры=2	№
720	#Level1	a-Шатрунджая	№
721	#Level1	a-Шачи	№
722	#Level1	a-Шашабинду	№
723	#Level1	a-Шеша	№
724	#Level1	a-Шиби	№
725	#Level1	a-Шива	№
726	#Level2	a-Благой=2	№
727	#Level2	a-Бог богов	№
728	#Level2	a-Бхава	№
729	#Level2	a-Бхима	№
730	#Level2	a-Вечный=3	№
731	#Level2	a-владыка богов=3	№
732	#Level2	a-владыка миров=3	№
733	#Level2	a-губитель Трипуры	№
734	#Level2	a-держатель трезубца	№
735	#Level2	a-Махадева	№
736	#Level2	a-Махешвара	№
737	#Level2	a-Пашупати	№
738	#Level2	a-Рудра	№
739	#Level2	a-с быком на знамени	№
740	#Level2	a-супруг Умы	№
741	#Level2	a-Темношеий, или “с темной шеей”	№
742	#Level2	a-Трехглазый	№
743	#Level2	a-Хара	№
744	#Level2	a-Шанкара	№
745	#Level1	a-Шигхрага	№
746	#Level2	a-сын Агниварны	№
747	#Level1	a-Шри	№
